Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-10-11,NIFTY FMCG,43466.9,43473.75,42461.8,42564.65,42564.65,28034841
2022-10-12,NIFTY FMCG,42739.15,43267.15,42559.2,43196.85,43196.85,24850175
2022-10-13,NIFTY FMCG,43180.85,43319.85,42995.65,43036.65,43036.65,17284721
2022-10-14,NIFTY FMCG,43474.2,43646.35,43105.2,43153.05,43153.05,15392992
2022-10-17,NIFTY FMCG,43073.85,43406.95,42924.5,43182.9,43182.9,14352468
2022-10-18,NIFTY FMCG,43465.4,43859.05,43389.25,43715.75,43715.75,29824228
2022-10-19,NIFTY FMCG,43923.1,44055.9,43665.9,43890.55,43890.55,26965166
2022-10-20,NIFTY FMCG,43824.4,44365.1,43821.55,44281.15,44281.15,30219040
2022-10-21,NIFTY FMCG,44467.75,44670.8,44080.7,44269.2,44269.2,39087788
2022-10-24,NIFTY FMCG,44372.9,44471.25,44090.5,44210.1,44210.1,5375328
2022-10-25,NIFTY FMCG,44332.6,44342.3,43659.45,43752.85,43752.85,31822770
2022-10-27,NIFTY FMCG,43858.0,44073.7,43617.2,43954.6,43954.6,36276810
2022-10-28,NIFTY FMCG,44118.1,44202.8,43834.25,43944.1,43944.1,23312955
2022-10-31,NIFTY FMCG,44166.35,44410.4,44031.0,44296.3,44296.3,24382932
2022-11-01,NIFTY FMCG,44460.15,44604.85,44400.8,44564.9,44564.9,34057130
2022-11-02,NIFTY FMCG,44583.75,44807.8,44346.7,44533.35,44533.35,27742733
2022-11-03,NIFTY FMCG,44439.0,44782.75,44404.95,44661.85,44661.85,23615617
2022-11-04,NIFTY FMCG,44684.7,44790.95,44409.65,44509.55,44509.55,17336425
2022-11-07,NIFTY FMCG,44700.55,44998.9,44416.15,44709.45,44709.45,26539612
2022-11-09,NIFTY FMCG,44696.55,45050.35,44671.95,44826.55,44826.55,33965879
2022-11-10,NIFTY FMCG,44719.65,44927.25,44386.15,44586.9,44586.9,29568378
2022-11-11,NIFTY FMCG,44988.15,45035.5,44431.05,44520.5,44520.5,20840526
2022-11-14,NIFTY FMCG,44570.4,44692.55,43878.3,43919.15,43919.15,30158292
2022-11-15,NIFTY FMCG,44054.65,44077.4,43468.05,43911.05,43911.05,27713133
2022-11-16,NIFTY FMCG,43960.1,44012.65,43594.8,43910.3,43910.3,19812631
2022-11-17,NIFTY FMCG,43923.4,44084.8,43775.45,43845.1,43845.1,23898468
2022-11-18,NIFTY FMCG,43915.65,43958.8,43447.9,43747.0,43747.0,17516170
2022-11-21,NIFTY FMCG,43647.25,43688.6,43456.2,43611.0,43611.0,18153486
2022-11-22,NIFTY FMCG,43619.0,43881.85,43526.05,43854.15,43854.15,16105760
2022-11-23,NIFTY FMCG,44000.8,44009.2,43736.35,43854.2,43854.2,16166129
2022-11-24,NIFTY FMCG,43991.45,44388.45,43932.6,44241.75,44241.75,22817137
2022-11-25,NIFTY FMCG,44331.55,44331.55,43878.75,44102.6,44102.6,16175181
2022-11-28,NIFTY FMCG,44042.3,44313.45,43974.0,44251.05,44251.05,21807504
2022-11-29,NIFTY FMCG,44261.05,45151.7,44254.65,45078.55,45078.55,36916817
2022-11-30,NIFTY FMCG,45085.85,45788.05,45079.0,45536.55,45536.55,83279850
2022-12-01,NIFTY FMCG,45680.6,45690.7,45188.1,45370.65,45370.65,31195575
2022-12-02,NIFTY FMCG,45348.55,45351.4,45025.9,45154.2,45154.2,30281130
2022-12-05,NIFTY FMCG,45123.05,45232.75,44781.4,45151.15,45151.15,22674109
2022-12-06,NIFTY FMCG,44977.1,45341.2,44961.05,45287.85,45287.85,17491047
2022-12-07,NIFTY FMCG,45423.9,45878.45,45313.95,45724.6,45724.6,28142578
2022-12-08,NIFTY FMCG,45720.45,45986.05,45612.65,45767.05,45767.05,17297237
2022-12-09,NIFTY FMCG,45964.95,46235.15,45821.9,46159.5,46159.5,22467021
2022-12-12,NIFTY FMCG,46093.25,46244.2,45973.05,46215.2,46215.2,26863621
2022-12-13,NIFTY FMCG,46312.55,46331.2,46037.15,46145.55,46145.55,19669562
2022-12-14,NIFTY FMCG,46243.95,46285.65,45840.35,45949.35,45949.35,16577594
2022-12-15,NIFTY FMCG,45864.4,45977.3,45427.35,45544.55,45544.55,16940508
2022-12-16,NIFTY FMCG,45472.8,45541.6,45096.25,45320.75,45320.75,23972035
2022-12-19,NIFTY FMCG,45449.4,46013.55,45383.0,45981.45,45981.45,17837780
2022-12-20,NIFTY FMCG,45866.3,45888.7,45402.05,45694.7,45694.7,20108088
2022-12-21,NIFTY FMCG,45835.0,45864.45,45189.15,45284.7,45284.7,15720740
2022-12-22,NIFTY FMCG,45383.15,45569.5,44923.5,45085.55,45085.55,14674655
2022-12-23,NIFTY FMCG,44823.6,44976.65,44245.65,44314.9,44314.9,19011847
2022-12-26,NIFTY FMCG,44279.35,44864.3,44057.8,44744.05,44744.05,16776789
2022-12-27,NIFTY FMCG,44880.05,44981.25,44480.5,44559.4,44559.4,12394332
2022-12-28,NIFTY FMCG,44566.9,44634.7,44408.4,44589.15,44589.15,13654471
2022-12-29,NIFTY FMCG,44537.55,44630.75,44099.0,44508.0,44508.0,18144996
2022-12-30,NIFTY FMCG,44640.65,44740.35,44086.0,44171.45,44171.45,13102601
2023-01-02,NIFTY FMCG,44284.2,44318.65,44000.8,44192.85,44192.85,12327497
2023-01-03,NIFTY FMCG,44121.6,44231.75,43900.9,44013.65,44013.65,12841329
2023-01-04,NIFTY FMCG,44104.85,44160.65,43655.0,43723.55,43723.55,14787998
2023-01-05,NIFTY FMCG,43832.1,44533.65,43812.95,44401.5,44401.5,26308885
2023-01-06,NIFTY FMCG,44453.75,44717.35,44287.6,44412.85,44412.85,19486009
2023-01-09,NIFTY FMCG,44617.5,44894.55,44505.6,44796.65,44796.65,19967234
2023-01-10,NIFTY FMCG,44800.05,44809.45,44503.8,44626.05,44626.05,14886937
2023-01-11,NIFTY FMCG,44728.45,44752.8,44077.1,44123.0,44123.0,15394460
2023-01-12,NIFTY FMCG,44179.4,44258.75,43802.6,43966.35,43966.35,17879673
2023-01-13,NIFTY FMCG,44013.6,44200.55,43741.45,43955.6,43955.6,27143102
2023-01-16,NIFTY FMCG,44065.55,44099.85,43866.15,44006.75,44006.75,17479347
2023-01-17,NIFTY FMCG,44044.8,44582.8,44011.25,44536.1,44536.1,25800200
2023-01-18,NIFTY FMCG,44621.8,44808.95,44505.3,44711.45,44711.45,19431994
2023-01-19,NIFTY FMCG,44596.1,44708.95,44157.35,44326.05,44326.05,17035184
2023-01-20,NIFTY FMCG,43887.4,44138.7,43752.0,43899.6,43899.6,29180762
2023-01-23,NIFTY FMCG,44047.65,44295.05,43841.05,44261.9,44261.9,13023516
