Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-10-11,3MINDIA,24392.0,24397.94921875,23479.349609375,23748.099609375,22917.953125,7825
2022-10-12,3MINDIA,23796.0,23800.0,23332.0,23684.0,22856.09375,3038
2022-10-13,3MINDIA,23552.0,23588.099609375,23330.0,23384.099609375,22566.677734375,3090
2022-10-14,3MINDIA,23501.05078125,23628.44921875,22825.75,23003.44921875,22199.33203125,1856
2022-10-17,3MINDIA,22996.0,24200.0,22743.05078125,23414.099609375,22595.62890625,5166
2022-10-18,3MINDIA,23515.0,23840.0,23410.0,23683.599609375,22855.70703125,3461
2022-10-19,3MINDIA,23790.0,23821.30078125,23400.0,23469.69921875,22649.28515625,1088
2022-10-20,3MINDIA,23598.0,23598.0,23066.05078125,23227.150390625,22415.21484375,2095
2022-10-21,3MINDIA,23343.30078125,23490.0,22865.099609375,22954.69921875,22152.287109375,2805
2022-10-24,3MINDIA,23298.69921875,23298.69921875,23004.0,23168.19921875,22358.32421875,268
2022-10-25,3MINDIA,23196.0,23323.0,22811.0,22922.099609375,22120.826171875,1041
2022-10-27,3MINDIA,23171.0,23248.0,22506.599609375,22610.30078125,21819.927734375,1547
2022-10-28,3MINDIA,22610.30078125,23100.0,22580.30078125,23040.44921875,22235.0390625,2830
2022-10-31,3MINDIA,23112.0,23321.0,22985.0,23288.30078125,22474.2265625,4536
2022-11-01,3MINDIA,23288.80078125,23388.0,22860.0,23118.55078125,22310.41015625,2044
2022-11-02,3MINDIA,23234.150390625,23950.0,23190.0,23408.75,22590.466796875,2781
2022-11-03,3MINDIA,23408.75,23500.0,23000.0,23071.5,22265.005859375,1897
2022-11-04,3MINDIA,23178.0,23358.94921875,22801.0,22871.94921875,22072.4296875,1318
2022-11-07,3MINDIA,22986.349609375,23172.099609375,22291.0,22400.69921875,21617.65234375,2778
2022-11-09,3MINDIA,22840.0,24163.80078125,22301.0,23483.94921875,22663.037109375,27624
2022-11-10,3MINDIA,23699.94921875,23780.0,23280.0,23564.0,22740.2890625,5789
2022-11-11,3MINDIA,23950.0,24100.0,23577.099609375,23680.849609375,22853.0546875,5242
2022-11-14,3MINDIA,23799.0,24648.0,23630.19921875,24483.69921875,23627.837890625,7862
2022-11-15,3MINDIA,24650.0,24900.0,23844.150390625,24134.400390625,23290.75,6457
2022-11-16,3MINDIA,24150.0,24238.19921875,23856.099609375,24014.599609375,23175.13671875,3514
2022-11-17,3MINDIA,24000.0,24170.94921875,23839.75,24004.75,23165.6328125,2679
2022-11-18,3MINDIA,24124.80078125,24349.0,23957.25,24316.05078125,23466.05078125,3550
2022-11-21,3MINDIA,23970.0,23970.0,23311.0,23738.55078125,23738.55078125,4007
2022-11-22,3MINDIA,23600.0,23738.44921875,23001.0,23168.150390625,23168.150390625,2662
2022-11-23,3MINDIA,23248.0,23248.0,22900.0,22974.44921875,22974.44921875,2450
2022-11-24,3MINDIA,22998.94921875,23200.0,22900.0,22929.099609375,22929.099609375,1485
2022-11-25,3MINDIA,22900.0,23187.94921875,22850.0,22900.80078125,22900.80078125,7329
2022-11-28,3MINDIA,22905.0,23290.5,22765.05078125,23239.05078125,23239.05078125,12997
2022-11-29,3MINDIA,23239.05078125,23465.75,23066.30078125,23399.94921875,23399.94921875,1970
2022-11-30,3MINDIA,23390.0,23559.849609375,23167.0,23353.5,23353.5,1930
2022-12-01,3MINDIA,23549.0,23549.0,23300.0,23386.94921875,23386.94921875,2182
2022-12-02,3MINDIA,23210.25,23383.849609375,23000.0,23149.349609375,23149.349609375,2258
2022-12-05,3MINDIA,23165.0,23237.349609375,22916.599609375,23108.349609375,23108.349609375,1739
2022-12-06,3MINDIA,23119.0,23175.150390625,22974.099609375,23086.25,23086.25,1258
2022-12-07,3MINDIA,23149.0,23349.650390625,22851.0,22996.55078125,22996.55078125,1918
2022-12-08,3MINDIA,23100.0,23143.400390625,22852.0,22909.44921875,22909.44921875,771
