Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-10-11,NIFTY PSE,4097.35,4097.35,4016.05,4023.25,4023.25,174659052.0
2022-10-12,NIFTY PSE,4036.15,4083.45,4025.2,4078.25,4078.25,171669143.0
2022-10-13,NIFTY PSE,4080.85,4105.3,4050.4,4056.65,4056.65,156049681.0
2022-10-14,NIFTY PSE,4117.7,4117.7,4037.75,4040.35,4040.35,152277478.0
2022-10-17,NIFTY PSE,4034.7,4068.95,4005.05,4062.3,4062.3,166348480.0
2022-10-18,NIFTY PSE,4081.6,4112.95,4073.95,4106.65,4106.65,314057042.0
2022-10-19,NIFTY PSE,4115.15,4140.6,4088.95,4096.85,4096.85,219138726.0
2022-10-20,NIFTY PSE,4085.45,4150.75,4066.15,4141.7,4141.7,212560289.0
2022-10-21,NIFTY PSE,4141.05,4156.15,4093.6,4116.85,4116.85,232579472.0
2022-10-24,NIFTY PSE,4159.95,4166.4,4147.85,4152.7,4152.7,35095951.0
2022-10-25,NIFTY PSE,4155.4,4176.8,4113.95,4170.9,4170.9,300278060.0
2022-10-27,NIFTY PSE,4185.3,4236.4,4173.15,4230.2,4230.2,
2022-10-28,NIFTY PSE,4237.9,4278.95,4219.1,4257.95,4257.95,283321542.0
2022-10-31,NIFTY PSE,4262.6,4296.55,4243.15,4276.55,4276.55,193083131.0
2022-11-01,NIFTY PSE,4292.9,4348.35,4288.45,4341.55,4341.55,243074309.0
2022-11-02,NIFTY PSE,4346.25,4364.7,4326.6,4336.65,4336.65,205221806.0
2022-11-03,NIFTY PSE,4317.8,4356.8,4310.6,4323.85,4323.85,186795706.0
2022-11-04,NIFTY PSE,4331.55,4345.05,4308.3,4317.35,4317.35,219342406.0
2022-11-07,NIFTY PSE,4338.85,4362.85,4336.0,4358.3,4358.3,223232263.0
2022-11-09,NIFTY PSE,4393.8,4394.3,4304.25,4313.0,4313.0,230645835.0
2022-11-10,NIFTY PSE,4303.2,4315.6,4257.45,4276.25,4276.25,175936727.0
2022-11-11,NIFTY PSE,4315.15,4324.35,4276.45,4286.0,4286.0,230220077.0
2022-11-14,NIFTY PSE,4302.25,4313.7,4276.7,4281.75,4281.75,256123080.0
2022-11-15,NIFTY PSE,4288.55,4313.45,4285.7,4308.6,4308.6,178761996.0
2022-11-16,NIFTY PSE,4317.95,4320.45,4293.35,4310.35,4310.35,167798852.0
2022-11-17,NIFTY PSE,4304.55,4323.35,4292.05,4305.4,4305.4,157765996.0
2022-11-18,NIFTY PSE,4312.2,4317.85,4247.25,4267.85,4267.85,161933504.0
2022-11-21,NIFTY PSE,4267.45,4275.0,4249.95,4269.65,4269.65,166608653.0
2022-11-22,NIFTY PSE,4268.95,4290.55,4255.0,4285.9,4285.9,187104411.0
2022-11-23,NIFTY PSE,4299.35,4303.3,4284.1,4294.55,4294.55,152661755.0
2022-11-24,NIFTY PSE,4304.4,4361.8,4300.7,4358.3,4358.3,202271092.0
2022-11-25,NIFTY PSE,4367.9,4415.65,4334.55,4404.75,4404.75,305328737.0
2022-11-28,NIFTY PSE,4400.2,4445.95,4399.25,4431.75,4431.75,276546443.0
2022-11-29,NIFTY PSE,4442.45,4447.7,4408.05,4415.7,4415.7,170830721.0
2022-11-30,NIFTY PSE,4414.95,4463.5,4410.55,4455.9,4455.9,255098988.0
2022-12-01,NIFTY PSE,4476.1,4482.55,4434.15,4443.5,4443.5,230469055.0
2022-12-02,NIFTY PSE,4447.2,4471.6,4445.45,4461.05,4461.05,301485102.0
2022-12-05,NIFTY PSE,4473.4,4498.5,4444.45,4494.15,4494.15,240632061.0
2022-12-06,NIFTY PSE,4492.25,4495.0,4449.5,4466.45,4466.45,174547511.0
2022-12-07,NIFTY PSE,4464.15,4484.3,4444.95,4453.25,4453.25,175066168.0
2022-12-08,NIFTY PSE,4463.05,4464.1,4436.8,4456.5,4456.5,158692339.0
2022-12-09,NIFTY PSE,4478.35,4481.15,4409.15,4430.95,4430.95,186023683.0
2022-12-12,NIFTY PSE,4427.2,4470.95,4399.15,4465.7,4465.7,180174552.0
2022-12-13,NIFTY PSE,4479.75,4484.7,4456.05,4472.7,4472.7,137626704.0
2022-12-14,NIFTY PSE,4481.4,4525.95,4480.15,4516.45,4516.45,167039043.0
2022-12-15,NIFTY PSE,4512.25,4530.3,4466.85,4474.6,4474.6,168588947.0
2022-12-16,NIFTY PSE,4465.45,4490.8,4399.5,4403.85,4403.85,239389847.0
2022-12-19,NIFTY PSE,4409.8,4458.7,4393.45,4454.65,4454.65,154662122.0
2022-12-20,NIFTY PSE,4449.6,4451.25,4391.2,4439.5,4439.5,137187486.0
2022-12-21,NIFTY PSE,4450.1,4462.8,4342.1,4362.8,4362.8,198504051.0
2022-12-22,NIFTY PSE,4378.0,4384.0,4281.15,4315.8,4315.8,180516496.0
2022-12-23,NIFTY PSE,4281.4,4309.85,4194.3,4205.15,4205.15,201286933.0
2022-12-26,NIFTY PSE,4202.35,4306.95,4180.5,4287.15,4287.15,141434240.0
2022-12-27,NIFTY PSE,4313.9,4339.4,4286.2,4320.65,4320.65,155614518.0
2022-12-28,NIFTY PSE,4312.05,4351.95,4310.75,4330.5,4330.5,132171921.0
2022-12-29,NIFTY PSE,4304.95,4339.95,4299.35,4334.9,4334.9,192505156.0
2022-12-30,NIFTY PSE,4352.45,4390.25,4351.0,4367.0,4367.0,172441175.0
2023-01-02,NIFTY PSE,4387.6,4433.85,4373.35,4428.8,4428.8,237021146.0
2023-01-03,NIFTY PSE,4433.85,4449.95,4420.65,4442.05,4442.05,197963725.0
2023-01-04,NIFTY PSE,4446.8,4449.5,4358.0,4377.6,4377.6,188226507.0
2023-01-05,NIFTY PSE,4392.8,4422.3,4363.75,4417.45,4417.45,215223184.0
2023-01-06,NIFTY PSE,4423.9,4440.75,4393.15,4404.05,4404.05,206884763.0
2023-01-09,NIFTY PSE,4439.55,4458.2,4411.6,4431.55,4431.55,201156855.0
2023-01-10,NIFTY PSE,4439.25,4446.1,4388.8,4423.0,4423.0,172999357.0
2023-01-11,NIFTY PSE,4434.2,4444.35,4405.05,4422.25,4422.25,211393947.0
2023-01-12,NIFTY PSE,4443.75,4444.1,4383.4,4396.75,4396.75,161120297.0
2023-01-13,NIFTY PSE,4400.2,4427.75,4388.85,4423.85,4423.85,126398101.0
2023-01-16,NIFTY PSE,4439.5,4442.55,4405.15,4423.25,4423.25,131365960.0
2023-01-17,NIFTY PSE,4431.85,4438.55,4399.0,4434.05,4434.05,174312587.0
2023-01-18,NIFTY PSE,4437.6,4468.15,4433.0,4465.45,4465.45,184199734.0
2023-01-19,NIFTY PSE,4461.25,4501.05,4454.1,4496.65,4496.65,197224182.0
2023-01-20,NIFTY PSE,4505.25,4528.8,4498.6,4507.0,4507.0,206060221.0
2023-01-23,NIFTY PSE,4529.0,4538.7,4506.05,4530.1,4530.1,170246681.0
