Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-10-11,NIFTY PVT BANK,20285.3,20331.35,20029.75,20072.0,20072.0,126560266.0
2022-10-12,NIFTY PVT BANK,20115.25,20353.3,20029.65,20329.55,20329.55,150412631.0
2022-10-13,NIFTY PVT BANK,20257.85,20306.55,19990.6,20111.75,20111.75,111207060.0
2022-10-14,NIFTY PVT BANK,20546.7,20604.95,20406.25,20454.3,20454.3,146669151.0
2022-10-17,NIFTY PVT BANK,20460.8,20774.85,20361.55,20743.75,20743.75,131288876.0
2022-10-18,NIFTY PVT BANK,20918.0,20964.55,20824.85,20882.7,20882.7,115677710.0
2022-10-19,NIFTY PVT BANK,21010.05,21075.9,20856.0,20942.95,20942.95,110479052.0
2022-10-20,NIFTY PVT BANK,20829.5,20853.35,20640.95,20733.2,20733.2,108557658.0
2022-10-21,NIFTY PVT BANK,20881.3,21213.55,20865.25,21077.65,21077.65,187355479.0
2022-10-24,NIFTY PVT BANK,21376.05,21409.75,21260.45,21308.6,21308.6,57271246.0
2022-10-25,NIFTY PVT BANK,21408.8,21418.3,21080.9,21129.5,21129.5,153363039.0
2022-10-27,NIFTY PVT BANK,21297.95,21349.85,21188.0,21257.75,21257.75,
2022-10-28,NIFTY PVT BANK,21227.1,21340.5,21054.9,21116.65,21116.65,144753094.0
2022-10-31,NIFTY PVT BANK,21240.65,21273.2,21131.3,21193.9,21193.9,140953852.0
2022-11-01,NIFTY PVT BANK,21319.5,21353.15,21114.0,21162.8,21162.8,135420720.0
2022-11-02,NIFTY PVT BANK,21265.1,21265.95,21056.9,21089.65,21089.65,100272968.0
2022-11-03,NIFTY PVT BANK,20961.4,21273.85,20933.1,21162.35,21162.35,140047088.0
2022-11-04,NIFTY PVT BANK,21173.75,21261.6,21024.35,21108.45,21108.45,94822831.0
2022-11-07,NIFTY PVT BANK,21248.7,21265.35,21036.7,21218.9,21218.9,116096144.0
2022-11-09,NIFTY PVT BANK,21322.2,21339.65,21157.25,21219.1,21219.1,134152818.0
2022-11-10,NIFTY PVT BANK,21056.8,21161.85,20997.55,21146.45,21146.45,118614675.0
2022-11-11,NIFTY PVT BANK,21412.85,21541.2,21304.3,21447.9,21447.9,155354570.0
2022-11-14,NIFTY PVT BANK,21457.6,21511.7,21357.55,21444.4,21444.4,90572106.0
2022-11-15,NIFTY PVT BANK,21526.65,21628.9,21452.1,21588.75,21588.75,80259362.0
2022-11-16,NIFTY PVT BANK,21586.9,21681.95,21559.6,21644.85,21644.85,105039503.0
2022-11-17,NIFTY PVT BANK,21578.9,21693.3,21562.4,21616.8,21616.8,81064340.0
2022-11-18,NIFTY PVT BANK,21659.0,21678.8,21424.4,21530.65,21530.65,82917679.0
2022-11-21,NIFTY PVT BANK,21445.7,21522.45,21414.2,21499.05,21499.05,68561761.0
2022-11-22,NIFTY PVT BANK,21567.0,21592.05,21494.95,21563.75,21563.75,72654479.0
2022-11-23,NIFTY PVT BANK,21673.15,21737.75,21618.95,21670.3,21670.3,69097365.0
2022-11-24,NIFTY PVT BANK,21728.3,21860.05,21693.75,21813.85,21813.85,74068805.0
2022-11-25,NIFTY PVT BANK,21877.15,21955.75,21756.5,21821.5,21821.5,127952984.0
2022-11-28,NIFTY PVT BANK,21708.75,21962.75,21702.75,21879.35,21879.35,99375422.0
2022-11-29,NIFTY PVT BANK,21848.35,22014.25,21848.35,21897.35,21897.35,106749892.0
2022-11-30,NIFTY PVT BANK,21944.9,22076.05,21820.25,22018.6,22018.6,110334475.0
2022-12-01,NIFTY PVT BANK,22153.8,22156.25,21929.85,21991.65,21991.65,129411718.0
